[x]	label	desc	unitlist
quantitykind:RecombinationCoefficient	Recombination Coefficient	The "Recombination Coefficient" is the rate of recombination of positive ions with electrons or negative ions in a gas, per unit volume, divided by the product of the number of positive ions per unit volume and the number of electrons or negative ions per unit volume.	http://qudt.org/vocab/unit/M3-PER-SEC
quantitykind:Refectance	Refectance	Refectance and reflectivity generally refer to the fraction of incident electromagnetic power that is reflected at an interface, while the term "reflection coefficient" is used for the fraction of electric field reflected. Reflectance is always a positive real number.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Reflectance	Reflectance	Reflectance, or reflection factor for sound power, is the ratio of reflected sound power to incident sound power.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ReflectanceFactor	Reflectance Factor	Reflectance Factor is the measure of the ability of a surface to reflect light or other electromagnetic radiation, equal to the ratio of the reflected flux to the incident flux.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RefractiveIndex	Refractive index	"refractive index" or index of refraction n of a substance (optical medium) is a dimensionless number that describes how light, or any other radiation, propagates through that medium.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeAtomicMass	Relative Atomic Mass	"Relative Atomic Mass " is a dimensionless physical quantity, the ratio of the average mass of atoms of an element (from a given source) to 1/12 of the mass of an atom of carbon-12 (known as the unified atomic mass unit)	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeMassConcentrationOfVapour	Relative Mass Concentration of Vapour	"Relative Mass Concentration of Vapour} is one of a number of \textit{Relative Concentration" quantities  defined by ISO 8000.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeMassDefect	Relative Mass Defect	The "Relative Mass Defect" is the mass defect between the monoisotopic mass of an element and the mass of its A + 1 or its A + 2 isotopic cluster.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeMassDensity	Relative Mass Density	Relative density, or specific gravity, is the ratio of the density (mass of a unit volume) of a substance to the density of a given reference material.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeMassExcess	Relative Mass Excess	The "Relative Mass Excess" is the mass excess between the monoisotopic mass of an element and the mass of its A + 1 or its A + 2 isotopic cluster (extrapolated from relative mass defect).	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeMassRatioOfVapour	Relative Mass Ratio of Vapour	"Relative Mass Ratio of Vapour} is one of a number of \textit{Relative Concentration" quantities  defined by ISO 8000.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativeMolecularMass	Relative Molecular Mass	"Relative Molecular Mass " is equivalent to the numerical value of the molecular mass expressed in unified atomic mass units. The molecular mass (m) is the mass of a molecule.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RelativePermittivity	Relative Permittivity	"Relative Permittivity" is the ration of permittivity to the permittivity of a vacuum.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ResidualResistivity	Residual Resistivity	"Residual Resistivity" for metals, is the resistivity extrapolated to zero thermodynamic temperature.	http://qudt.org/vocab/unit/OHM-M
quantitykind:Resistance	Resistance	The electrical resistance of an object is a measure of its opposition to the passage of a steady electric current.	http://qudt.org/vocab/unit/OHM_Stat http://qudt.org/vocab/unit/OHM http://qudt.org/vocab/unit/PlanckImpedance http://qudt.org/vocab/unit/OHM_Ab
quantitykind:Resistivity	Resistivity	"Resistivity" is the inverse of the conductivity when this inverse exists.	http://qudt.org/vocab/unit/OHM-M
quantitykind:ResonanceEnergy	Resonance Energy	"Resonance Energy" in a nuclear reaction, is the kinetic energy of an incident particle, in the reference frame of the target, corresponding to a resonance in a nuclear reaction.	http://qudt.org/vocab/unit/J
quantitykind:ResonanceEscapeProbability	Resonance Escape Probability	The "Resonance Escape Probability" is the fraction of fission neutrons that manage to slow down from fission to thermal energies without being absorbed. In an infinite medium, the probability that a neutron slowing down will traverse all or some specified portion of the range of resonance energies without being absorbed.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RespiratoryRate	Respiratory Rate	Respiratory rate (Vf, Rf or RR) is also known by respiration rate, pulmonary ventilation rate, ventilation rate, or breathing frequency is the number of breaths taken within a set amount of time, typically 60 seconds. A normal respiratory rate is termed eupnea, an increased respiratory rate is termed tachypnea and a lower than normal respiratory rate is termed bradypnea.	http://qudt.org/vocab/unit/BREATH-PER-MIN
quantitykind:RestEnergy	Rest Energy	"Rest Energy" is the energy equivalent of the rest mass of a body, equal to the rest mass multiplied by the speed of light squared.	http://qudt.org/vocab/unit/J
quantitykind:RichardsonConstant	Richardson Constant	"Richardson Constant" is a constant used in developing thermionic emission current density for a metal.	http://qudt.org/vocab/unit/A-PER-M2-K2
quantitykind:SecondAxialMomentOfArea	Second Axial Moment of Area	The moment of inertia, also called mass moment of inertia, rotational inertia, polar moment of inertia of mass, or the angular mass is a property of a distribution of mass in space that measures its resistance to rotational acceleration about an axis.	http://qudt.org/vocab/unit/M4
quantitykind:SecondPolarMomentOfArea	Second Polar Moment of Area	The moment of inertia, also called mass moment of inertia, rotational inertia, polar moment of inertia of mass, or the angular mass is a property of a distribution of mass in space that measures its resistance to rotational acceleration about an axis.	http://qudt.org/vocab/unit/M4
quantitykind:SectionModulus	Section Modulus	The Section Modulus is a geometric property for a given cross-section used in the design of beams or flexural members.	http://qudt.org/vocab/unit/M3
quantitykind:SeebeckCoefficient	Seebeck Coefficient	"Seebeck Coefficient", or thermopower, or thermoelectric power of a material is a measure of the magnitude of an induced thermoelectric voltage in response to a temperature difference across that material.	http://qudt.org/vocab/unit/V-PER-K
quantitykind:ShearStrain	Shear Strain	Shear Strain is the amount of deformation perpendicular to a given line rather than parallel to it. 	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ShearStress	Shear Stress	Shear stress occurs when the force  occurs in shear, or perpendicular to the normal.	http://qudt.org/vocab/unit/PA http://qudt.org/vocab/unit/LB_F-PER-IN2 http://qudt.org/vocab/unit/N-PER-M2
quantitykind:Short-RangeOrderParameter	Short-Range Order Parameter	"Short-Range Order Parameter" is the fraction of the nearest-neighbor atom pairs in an Ising ferromagnet having magnetic moments in one direction, minus the fraction having magnetic moments in the opposite direction.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:SignalStrength	Signal Strength	In telecommunications, particularly in radio, signal strength refers to the magnitude of the electric field at a reference point that is a significant distance from the transmitting antenna. It may also be referred to as received signal level or field strength. Typically, it is expressed in voltage per length or signal power received by a reference antenna. High-powered transmissions, such as those used in broadcasting, are expressed in dB-millivolts per metre (dBmV/m).	http://qudt.org/vocab/unit/DeciB http://qudt.org/vocab/unit/B
quantitykind:Slowing-DownArea	Slowing-Down Area	"Slowing-Down Area" in an infinite homogenous medium, is one-sixth of the mean square distance between the neutron source and the point where a neutron reaches a given energy.	http://qudt.org/vocab/unit/M2
quantitykind:Slowing-DownDensity	Slowing-Down Density	"Slowing-Down Density" is a measure of the rate at which neutrons lose energy in a nuclear reactor through collisions; equal to the number of neutrons that fall below a given energy per unit volume per unit time.	http://qudt.org/vocab/unit/PER-M3-SEC
quantitykind:Slowing-DownLength	Slowing-Down Length	"Slowing-Down Length" is the average straight-line distance that a fast neutron will travel between its introduction into the slowing-downmedium (moderator) and thermalization.	http://qudt.org/vocab/unit/M
quantitykind:SolidAngle	Solid Angle	The solid angle subtended by a surface S is defined as the surface area of a unit sphere covered by the surface S's projection onto the sphere. A solid angle is related to the surface of a sphere in the same way an ordinary angle is related to the circumference of a circle. Since the total surface area of the unit sphere is 4*pi, the measure of solid angle will always be between 0 and 4*pi.	http://qudt.org/vocab/unit/SR http://qudt.org/vocab/unit/DEG2 http://qudt.org/vocab/unit/FA
quantitykind:SolidStateDiffusionLength	Diffusion Length (Solid State Physics)	"Solid State Diffusion Length" is the average distance traveled by a particle, such as a minority carrier in a semiconductor 	http://qudt.org/vocab/unit/M
quantitykind:SoundExposure	Sound exposure	Sound Exposure is the energy of the A-weighted sound calculated over the measurement time(s). For a given period of time, an increase of 10 dB(A) in sound pressure level corresponds to a tenfold increase in E.	http://qudt.org/vocab/unit/PA2-SEC
quantitykind:SoundIntensity	Sound intensity	Sound intensity or acoustic intensity (\(I\)) is defined as the sound power \(P_a\) per unit area \(A\). The usual context is the noise measurement of sound intensity in the air at a listener's location as a sound energy quantity.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:SoundParticleDisplacement	Sound Particle Displacement	Sound Particle Displacement is the nstantaneous displacement of a particle in a medium from what would be its position in the absence of sound waves.	http://qudt.org/vocab/unit/M
quantitykind:SoundParticleVelocity	Sound particle velocity	Sound Particle velocity is the velocity v of a particle (real or imagined) in a medium as it transmits a wave. In many cases this is a longitudinal wave of pressure as with sound, but it can also be a transverse wave as with the vibration of a taut string. When applied to a sound wave through a medium of a fluid like air, particle velocity would be the physical speed of a parcel of fluid as it moves back and forth in the direction the sound wave is travelling as it passes.	http://qudt.org/vocab/unit/M-PER-SEC
quantitykind:SoundPressure	Sound pressure	Sound Pressure is the difference between instantaneous total pressure and static pressure.	http://qudt.org/vocab/unit/PA
quantitykind:SoundReductionIndex	Sound reduction index	The Sound Reduction Index is used to measure the level of sound insulation provided by a structure such as a wall, window, door, or ventilator.	http://qudt.org/vocab/unit/DeciB
quantitykind:SpatialSummationFunction	Spatial Summation Function	"Spatial Summation Function" is he ability to produce a composite signal from the signals coming into the eyes from different directions.	http://qudt.org/vocab/unit/M
quantitykind:SpecificActivity	Specific Activity	The "Specific Activity" is the number of decays per unit time of a radioactive sample. The SI unit of radioactive activity is the becquerel (Bq), in honor of the scientist Henri Becquerel.	http://qudt.org/vocab/unit/BQ-PER-KiloGM
quantitykind:SpecificEnergyImparted	Specific Energy Imparted	The "Specific Energy Imparted", is the energy imparted to an element of irradiated matter divided by the mass, dm, of that element.	http://qudt.org/vocab/unit/GRAY
quantitykind:SpecificEntropy	Specific Entropy	"Specific Entropy" is entropy per unit of mass.	http://qudt.org/vocab/unit/J-PER-KiloGM-K
quantitykind:SpecificGibbsEnergy	Specific Gibbs Energy	Energy has corresponding intensive (size-independent) properties for pure materials. A corresponding intensive property is "Specific Gibbs Energy}, which is \textit{Gibbs Energy} per mass of substance involved. \textit{Specific Gibbs Energy" is denoted by a lower case g, with dimension of energy per mass (SI unit: joule/kg).	http://qudt.org/vocab/unit/J-PER-KiloGM
quantitykind:SpecificHeatCapacity	Specific Heat Capacity	"Specific Heat Capacity} of a solid or liquid is defined as the heat required to raise unit mass of substance by one degree of temperature. This is \textit{Heat Capacity} divied by \textit{Mass". Note that there are corresponding molar quantities.	http://qudt.org/vocab/unit/KiloCAL-PER-GM-DEG_C http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F http://qudt.org/vocab/unit/J-PER-KiloGM-K http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R
quantitykind:SpecificHeatCapacityAtConstantPressure	Specific heat capacity at constant pressure	Specific heat at a constant pressure.	http://qudt.org/vocab/unit/J-PER-KiloGM-K-PA http://qudt.org/vocab/unit/J-PER-KiloGM-K
quantitykind:SpecificHeatCapacityAtConstantVolume	Specific heat capacity at constant volume	Specific heat per constant volume.	http://qudt.org/vocab/unit/J-PER-KiloGM-K-M3 http://qudt.org/vocab/unit/J-PER-KiloGM-K
quantitykind:SpecificHeatCapacityAtSaturation	Specific Heat Capacity at Saturation	Specific heat per constant volume.	http://qudt.org/vocab/unit/J-PER-KiloGM-K
quantitykind:SpecificHeatPressure	Specific Heat Pressure	Specific heat at a constant pressure.	http://qudt.org/vocab/unit/J-PER-KiloGM-K-PA
quantitykind:SpecificHeatVolume	Specific Heat Volume	Specific heat per constant volume.	http://qudt.org/vocab/unit/J-PER-KiloGM-K-M3
quantitykind:SpecificInternalEnergy	Specific Internal Energy	Energy has corresponding intensive (size-independent) properties for pure materials. A corresponding intensive property is specific internal energy, which is energy per mass of substance involved. Specific internal energy is denoted by a lower case u, with dimension of energy per mass (SI unit: joule/kg).	http://qudt.org/vocab/unit/J-PER-KiloGM
quantitykind:SpecificOpticalRotatoryPower	Specific Optical Rotatory Power	The "Specific Optical Rotatory Power" Angle of optical rotation divided by the optical path length through the medium and by the mass concentration of the substance giving the specific optical rotatory power.	http://qudt.org/vocab/unit/RAD-M2-PER-KiloGM
quantitykind:SpectralLuminousEfficiency	Spectral Luminous Efficiency	The Spectral Luminous Efficiency is a measure of how well a light source produces visible light. It is the ratio of luminous flux to power. A common choice is to choose units such that the maximum possible efficacy, 683 lm/W, corresponds to an efficiency of 100%.	http://qudt.org/vocab/unit/LM-PER-W
quantitykind:SpectralRadiantEnergyDensity	Spectral Radiant Energy Density	"Spectral Radiant Energy Density" is the spectral concentration of radiant energy density (in terms of wavelength), or the spectral radiant energy density (in terms of wave length).	http://qudt.org/vocab/unit/J-PER-M4
quantitykind:SpeedOfSound	Speed of sound	The speed of sound is the distance travelled during a unit of time by a sound wave propagating through an elastic medium.	http://qudt.org/vocab/unit/M-PER-SEC
quantitykind:Spin	Spin	In quantum mechanics and particle physics "Spin" is an intrinsic form of angular momentum carried by elementary particles, composite particles (hadrons), and atomic nuclei.	http://qudt.org/vocab/unit/KiloGM-M2-PER-SEC
quantitykind:SpinQuantumNumber	Spin Quantum Number	The "Spin Quantum Number"  describes the spin (intrinsic angular momentum) of the electron within that orbital, and gives the projection of the spin angular momentum S along the specified axis	http://qudt.org/vocab/unit/UNITLESS
quantitykind:StandardChemicalPotential	Standard Chemical Potential	"Standard Chemical Potential" is the value of the chemical potential at standard conditions	http://qudt.org/vocab/unit/J-PER-MOL
quantitykind:StaticFriction	Static Friction	Static friction is friction between two or more solid objects that are not moving relative to each other. For example, static friction can prevent an object from sliding down a sloped surface. 	http://qudt.org/vocab/unit/UNITLESS
quantitykind:StaticPressure	Static pressure	"Static Pressure" is the pressure at a nominated point in a fluid. Every point in a steadily flowing fluid, regardless of the fluid speed at that point, has its own static pressure \(P\), dynamic pressure \(q\), and total pressure \(P_0\). The total pressure is the sum of the dynamic and static pressures, that is \(P_0 = P + q\).	http://qudt.org/vocab/unit/PA
quantitykind:StatisticalWeight	Statistical Weight	A "Statistical Weight" is the relative probability (possibly unnormalized) of a particular feature of a state.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:StoichiometricNumber	Stoichiometric Number	Chemical reactions, as macroscopic unit operations, consist of simply a very large number of elementary reactions, where a single molecule reacts with another molecule. As the reacting molecules (or moieties) consist of a definite set of atoms in an integer ratio, the ratio between reactants in a complete reaction is also in integer ratio. A reaction may consume more than one molecule, and the "Stoichiometric Number" counts this number, defined as positive for products (added) and negative for reactants (removed).	http://qudt.org/vocab/unit/UNITLESS
quantitykind:StructureFactor	Structure Factor	"Structure Factor" is a mathematical description of how a material scatters incident radiation.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:SuperconductorEnergyGap	Superconductor Energy Gap	"Superconductor Energy Gap" is the width of the forbidden energy band in a superconductor.	http://qudt.org/vocab/unit/J
quantitykind:SurfaceActivityDensity	Surface Activity Density	The "Surface Activity Density" is undefined.	http://qudt.org/vocab/unit/BQ-PER-M2
quantitykind:SurfaceDensity	Surface Density	The area density (also known as areal density, surface density, or superficial density) of a two-dimensional object is calculated as the mass per unit area.	http://qudt.org/vocab/unit/KiloGM-PER-M2
quantitykind:SurfaceTension	Surface Tension	"Surface Tension" is a contractive tendency of the surface of a liquid that allows it to resist an external force.	http://qudt.org/vocab/unit/KiloGM-PER-SEC2
quantitykind:SystolicBloodPressure	Systolic Blood Pressure	The pressure of blood in the arteries which rises to a maximum as blood is pumped out by the left ventricle (systole) and drops to a minimum in diastole. The systolic/diastolic pressure is normally ~120/80 mmHg in a young adult.	http://qudt.org/vocab/unit/MilliM_HG
quantitykind:TemporalSummationFunction	Temporal Summation Function	"Temporal Summation Function" is the ability of the human eye to produce a composite signal from the signals coming into an eye during a short time interval.	http://qudt.org/vocab/unit/PER-SEC-SR
quantitykind:ThermalConductance	Thermal Conductance	This quantity is also called "Heat Transfer Coefficient".	http://qudt.org/vocab/unit/W-PER-K
quantitykind:ThermalDiffusionFactor	Thermal Diffusion Factor	Thermal diffusion is a phenomenon in which a temperature gradient in a mixture of fluids gives rise to a flow of one constituent relative to the mixture as a whole. in the context of the equation that describes thermal diffusion, the "Thermal Diffusion Factor" is .	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ThermalDiffusionRatio	Thermal Diffusion Ratio	The "Thermal Diffusion Ratio" is proportional to the product of the component concentrations.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ThermalDiffusionRatioCoefficient	Thermal Diffusion Coefficient	The "Thermal Diffusion Coefficient" is .	http://qudt.org/vocab/unit/M2-PER-SEC
quantitykind:ThermalUtilizationFactor	Thermal Utilization Factor	The "Thermal Utilization Factor" in an infinite medium, is the ratio of the number of thermal absorbed in a fissionable nuclide or in a nuclear fuel, as specified, to the total number of thermal neutrons absorbed.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ThermodynamicTemperature	Thermodynamic Temperature	Thermodynamic temperature is the absolute measure of temperature and is one of the principal parameters of thermodynamics.   Temperature is a physical property of matter that quantitatively expresses the common notions of hot and cold.   In thermodynamics, in a system of which the entropy is considered as an independent externally controlled variable, absolute, or thermodynamic temperature is defined as the derivative of the internal energy with respect to the entropy. This is a base quantity in the International System of Quantities, ISQ, on which the International System of Units, SI, is based.	http://qudt.org/vocab/unit/K http://qudt.org/vocab/unit/DEG_F http://qudt.org/vocab/unit/DEG_R http://qudt.org/vocab/unit/MilliDEG_C http://qudt.org/vocab/unit/PlanckTemperature
quantitykind:Thickness	Thickness	"Thickness" is the the smallest of three dimensions: length, width, thickness.	http://qudt.org/vocab/unit/M
quantitykind:ThomsonCoefficient	Thomson Coefficient	"Thomson Coefficient" represents Thomson heat power developed, divided by the electric current and the temperature difference.	http://qudt.org/vocab/unit/V-PER-K
quantitykind:Time	Time	Time is a basic component of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions of objects.	http://qudt.org/vocab/unit/MilliSEC http://qudt.org/vocab/unit/SEC http://qudt.org/vocab/unit/KiloSEC http://qudt.org/vocab/unit/DAY http://qudt.org/vocab/unit/YR_Sidereal http://qudt.org/vocab/unit/MicroSEC http://qudt.org/vocab/unit/HR http://qudt.org/vocab/unit/MIN http://qudt.org/vocab/unit/HR_Sidereal http://qudt.org/vocab/unit/YR_Common http://qudt.org/vocab/unit/YR_TROPICAL http://qudt.org/vocab/unit/YR http://qudt.org/vocab/unit/PlanckTime http://qudt.org/vocab/unit/MIN_Sidereal http://qudt.org/vocab/unit/MO_MeanJulian http://qudt.org/vocab/unit/WK http://qudt.org/vocab/unit/SH http://qudt.org/vocab/unit/NanoSEC http://qudt.org/vocab/unit/MO_Synodic http://qudt.org/vocab/unit/MO http://qudt.org/vocab/unit/DAY_Sidereal http://qudt.org/vocab/unit/MO_MeanGREGORIAN
quantitykind:TimeAveragedSoundIntensity	Time averaged sound intensity	Sound intensity or acoustic intensity (\(I\)) is defined as the sound power \(P_a\) per unit area \(A\). The usual context is the noise measurement of sound intensity in the air at a listener's location as a sound energy quantity.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:TotalAngularMomentum	Total Angular Momentum	"Total Angular Momentum" combines both the spin and orbital angular momentum of all particles and fields. In atomic and nuclear physics, orbital angular momentum is usually denoted by \(l\) or \(L\) instead of \(\Lambda\). The magnitude of \(J\) is quantized so that \(J^2 = \hbar^2 j(j + 1)\), where \(j\) is the total angular momentum quantum number.	http://qudt.org/vocab/unit/J-SEC
quantitykind:TotalAtomicStoppingPower	Total Atomic Stopping Power	The "Total Atomic Stopping Power" for an ionizing particle passing through an element, is the particle's energy loss per atom within a unit area normal to the particle's path; equal to the linear energy transfer (energy loss per unit path length) divided by the number of atoms per unit volume.	http://qudt.org/vocab/unit/J-M2
quantitykind:TotalCross-Section	Total Cross-section	"Total Cross-section" is related to the absorbance of the light intensity through Beer-Lambert's law. It is the sum of all cross-sections corresponding to the various reactions or processes between an incident particle of specified type and energy and a target particle.	http://qudt.org/vocab/unit/M2
quantitykind:TotalCurrent	Total Current	"Total Current" is the sum of the electric current that is flowing through a surface and the displacement current.	http://qudt.org/vocab/unit/A
quantitykind:TotalCurrentDensity	Total Current Density	"Total Current Density" is the sum of the electric current density and the displacement current density.	http://qudt.org/vocab/unit/A-PER-M2
quantitykind:TotalLinearStoppingPower	Total Linear Stopping Power	The "Total Linear Stopping Power" is defined as the average energy loss of the particle per unit path length.	http://qudt.org/vocab/unit/J-PER-M
quantitykind:TotalMassStoppingPower	Total Mass Stopping Power	If a substance is compared in gaseous and solid form, then the linear stopping powers of the two states are very different just because of the different density. One therefore often divides S(E) by the density of the material to obtain the "Mass Stopping Power". The mass stopping power then depends only very little on the density of the material.	http://qudt.org/vocab/unit/J-M2-PER-KiloGM
quantitykind:Transmittance	Transmittance	Transmittance is the fraction of incident light (electromagnetic radiation) at a specified wavelength that passes through a sample.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:TransmittanceDensity	Transmittance Density	Transmittance is the fraction of incident light (electromagnetic radiation) at a specified wavelength that passes through a sample.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Turbidity	Turbidity	Turbidity is the cloudiness or haziness of a fluid, or of air, caused by individual particles (suspended solids) that are generally invisible to the naked eye, similar to smoke in air. Turbidity in open water is often caused by phytoplankton and the measurement of turbidity is a key test of water quality. The higher the turbidity, the higher the risk of the drinkers developing gastrointestinal diseases, especially for immune-compromised people, because contaminants like virus or bacteria can become attached to the suspended solid. The suspended solids interfere with water disinfection with chlorine because the particles act as shields for the virus and bacteria. Similarly suspended solids can protect bacteria from UV sterilisation of water. Fluids can contain suspended solid matter consisting of particles of many different sizes. While some suspended material will be large enough and heavy enough to settle rapidly to the bottom container if a liquid sample is left to stand (the settleable solids), very small particles will settle only very slowly or not at all if the sample is regularly agitated or the particles are colloidal. These small solid particles cause the liquid to appear turbid.	http://qudt.org/vocab/unit/NTU
quantitykind:Turns	Turns	"Turns" is the number of turns in a winding.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:VideoFrameRate	Video Frame Rate	Frame rate (also known as frame frequency) is the frequency (rate) at which an imaging device produces unique consecutive images called frames. The term applies equally well to computer graphics, video cameras, film cameras, and motion capture systems. Frame rate is most often expressed in frames per second (FPS) and is also expressed in progressive scan monitors as hertz (Hz).	http://qudt.org/vocab/unit/FRAME-PER-SEC
quantitykind:VisibleRadiantEnergy	Visible Radiant Energy	"Visible Radiant Energy", also known as luminous energy, is the energy of electromagnetic waves. It is energy of the particles that are emitted, transferred, or received as radiation.	http://qudt.org/vocab/unit/J
quantitykind:Volume	Volume	The volume of a solid object is the three-dimensional concept of how much space it occupies, often quantified numerically. One-dimensional figures (such as lines) and two-dimensional shapes (such as squares) are assigned zero volume in the three-dimensional space.	http://qudt.org/vocab/unit/MI3 http://qudt.org/vocab/unit/CentiM3 http://qudt.org/vocab/unit/TBSP http://qudt.org/vocab/unit/MilliM3 http://qudt.org/vocab/unit/AC-FT http://qudt.org/vocab/unit/BBL http://qudt.org/vocab/unit/RT http://qudt.org/vocab/unit/IN3 http://qudt.org/vocab/unit/TSP http://qudt.org/vocab/unit/M3 http://qudt.org/vocab/unit/FBM http://qudt.org/vocab/unit/PINT http://qudt.org/vocab/unit/QT http://qudt.org/vocab/unit/STR http://qudt.org/vocab/unit/PlanckVolume http://qudt.org/vocab/unit/FT3 http://qudt.org/vocab/unit/YD3
quantitykind:VolumeFlowRate	Volume Flow Rate	Volumetric Flow Rate, (also known as volume flow rate, rate of fluid flow or volume velocity) is the volume of fluid which passes through a given surface per unit time.	http://qudt.org/vocab/unit/M3-PER-SEC
quantitykind:VolumeFraction	Volume Fraction	"Volume Fraction" is the volume of a constituent divided by the volume of all constituents of the mixture prior to mixing. Volume fraction is also called volume concentration in ideal solutions where the volumes of the constituents are additive (the volume of the solution is equal to the sum of the volumes of its ingredients).	http://qudt.org/vocab/unit/UNITLESS
quantitykind:VolumeThermalExpansion	Volume Thermal Expansion	When the temperature of a substance changes, the energy that is stored in the intermolecular bonds between atoms changes. When the stored energy increases, so does the length of the molecular bonds. As a result, solids typically expand in response to heating and contract on cooling; this dimensional response to temperature change is expressed by its coefficient of thermal expansion.    Different coefficients of thermal expansion can be defined for a substance depending on whether the expansion is measured by:        * linear thermal expansion      * area thermal expansion      * volumetric thermal expansion    These characteristics are closely related. The volumetric thermal expansion coefficient can be defined for both liquids and solids. The linear thermal expansion can only be defined for solids, and is common in engineering applications.    Some substances expand when cooled, such as freezing water, so they have negative thermal expansion coefficients. [Wikipedia]	http://qudt.org/vocab/unit/M3-PER-K
quantitykind:VolumetricHeatCapacity	Volumetric Heat Capacity	"Volumetric Heat Capacity (VHC)}, also termed \textit{volume-specific heat capacity}, describes the ability of a given volume of a substance to store internal energy while undergoing a given temperature change, but without undergoing a phase transition. It is different from specific heat capacity in that the VHC is a \textit{per unit volume} measure of the relationship between thermal energy and temperature of a material, while the specific heat is a \textit{per unit mass" measure (or occasionally per molar quantity of the material).	http://qudt.org/vocab/unit/J-PER-M3-K
quantitykind:Wavelength	Wavelength	For a monochromatic wave, "wavelength" is the distance between two successive points in a direction perpendicular to the wavefront where at a given instant the phase differs by \(2\pi\). The wavelength of a sinusoidal wave is the spatial period of the wave—the distance over which the wave's shape repeats. The SI unit of wavelength is the meter.	http://qudt.org/vocab/unit/M
quantitykind:Wavenumber	Wavenumber	"Wavenumber" is the spatial frequency of a wave - the number of waves that exist over a specified distance. More formally, it is the reciprocal of the wavelength. It is also the magnitude of the wave vector. Light passing through different media keeps its frequency, but not its wavelength or wavenumber. The unit for wavenumber commonly used in spectroscopy is centimetre to power minus one, PER-CM, rather than metre to power minus one, PER-M.	http://qudt.org/vocab/unit/PER-M
quantitykind:Width	Width	"Width" is the middle of three dimensions: length, width, thickness.	http://qudt.org/vocab/unit/M
quantitykind:Work	Work	A force is said to do Work when it acts on a body so that there is a displacement of the point of application, however small, in the direction of the force.  The concepts of work and energy are closely tied to the concept of force because an applied force can do work on an object and cause a change in energy. Energy is defined as the ability to do work. Work is done on an object when an applied force moves it through a distance. Kinetic energy is the energy of an object in motion. The net work is equal to the change in kinetic energy.	http://qudt.org/vocab/unit/J http://qudt.org/vocab/unit/N-M
quantitykind:WorkFunction	Work Function	"Work Function" is the energy difference between an electron at rest at infinity and an electron at a certain energy level. The minimum energy (usually measured in electronvolts) needed to remove an electron from a solid to a point immediately outside the solid surface (or energy needed to move an electron from the Fermi level into vacuum).	http://qudt.org/vocab/unit/J
